ASIN,YEAR,MONTH,DAY,ORDER_FEATURE,DESCRIBE_FEATURE,STAR_FEATURE,,,,,,
B01IAE43JQ,2022,3,8,4,Longevity,4.6,2022-03-08 08:12:28.640592
B01LIXJGB6,2022,3,8,1,Moisturizing,4.6,2022-03-08 08:12:42.514727
B01LIXJGB6,2022,3,8,2,Value for money,4.3,2022-03-08 08:12:42.514727
B00NRH3ZUK,2022,3,8,1,Value for money,4.6,2022-03-08 08:12:55.817263
B00NRH3ZUK,2022,3,8,2,Moisturizing,4.3,2022-03-08 08:12:55.817263
B014I408PK,2022,3,8,1,Flattering,4.6,2022-03-08 08:13:02.616651
B014I408PK,2022,3,8,2,Longevity,3.7,2022-03-08 08:13:02.616651
B014I408PK,2022,3,8,3,Moisturizing,3.6,2022-03-08 08:13:02.616651
B00HO3C5PY,2022,3,8,1,Flattering,4.7,2022-03-08 08:13:09.467514
B00HO3C5PY,2022,3,8,2,Longevity,4.0,2022-03-08 08:13:09.467514
B00HO3C5PY,2022,3,8,3,Sheerness,4.0,2022-03-08 08:13:09.467514
B08ZLMDN87,2022,3,8,1,Moisturizing,3.3,2022-03-08 08:13:43.242471
B08ZLMDN87,2022,3,8,2,Longevity,3.2,2022-03-08 08:13:43.242471
B08ZLMDN87,2022,3,8,3,Smudge-proof,3.1,2022-03-08 08:13:43.242471
B0076OFYOK,2022,3,8,1,Moisturizing,4.3,2022-03-08 08:13:49.954346
B0076OFYOK,2022,3,8,2,Flattering,4.2,2022-03-08 08:13:49.954346
B0076OFYOK,2022,3,8,3,Longevity,4.0,2022-03-08 08:13:49.954346
B07282HZX1,2022,3,8,1,Value for money,4.6,2022-03-08 08:14:18.498631
B07282HZX1,2022,3,8,2,Moisturizing,4.3,2022-03-08 08:14:18.498631
B07282HZX1,2022,3,8,3,Flattering,4.1,2022-03-08 08:14:18.498631
B07282HZX1,2022,3,8,4,Longevity,4.1,2022-03-08 08:14:18.498631
B07282HZX1,2022,3,8,5,Sheerness,4.0,2022-03-08 08:14:18.498631
B00OW9NT1C,2022,3,8,1,Flattering,4.5,2022-03-08 08:14:25.661254
B00OW9NT1C,2022,3,8,2,Moisturizing,4.5,2022-03-08 08:14:25.661254
B00OW9NT1C,2022,3,8,3,Longevity,3.7,2022-03-08 08:14:25.661254
B08ZHT9V21,2022,3,8,1,Value for money,3.9,2022-03-08 08:15:44.795664
B08ZHT9V21,2022,3,8,2,Longevity,3.7,2022-03-08 08:15:44.795664
B00IALDH4C,2022,3,8,1,Value for money,3.9,2022-03-08 08:15:52.020757
B00IALDH4C,2022,3,8,2,Longevity,3.8,2022-03-08 08:15:52.020757
B00IALDH4C,2022,3,8,3,Sheerness,3.8,2022-03-08 08:15:52.020757
B00BMEMZR4,2022,3,8,1,Longevity,3.4,2022-03-08 08:16:18.737888
B00BMEMZR4,2022,3,8,2,Value for money,3.3,2022-03-08 08:16:18.737888
B00BMEMZR4,2022,3,8,3,Flavor,2.0,2022-03-08 08:16:18.737888
B005CN4C0Y,2022,3,8,1,Longevity,3.9,2022-03-08 08:17:08.702698
B005CN4C0Y,2022,3,8,2,Sheerness,3.8,2022-03-08 08:17:08.702698
B005CN4C0Y,2022,3,8,3,Flavor,3.7,2022-03-08 08:17:08.702698
B06XF14WBQ,2022,3,8,1,Flattering,4.5,2022-03-08 08:19:02.711223
B06XF14WBQ,2022,3,8,2,Moisturizing,4.5,2022-03-08 08:19:02.711223
B06XF14WBQ,2022,3,8,3,Longevity,4.2,2022-03-08 08:19:02.711223
B01BZON0DI,2022,3,8,1,Moisturizing,5.0,2022-03-08 08:19:10.310706
B01BZON0DI,2022,3,8,2,Flattering,5.0,2022-03-08 08:19:10.310706
B01BZON0DI,2022,3,8,3,Longevity,3.2,2022-03-08 08:19:10.310706
B00YDHJTAI,2022,3,8,1,Flattering,5.0,2022-03-08 08:19:16.974799
B00YDHJTAI,2022,3,8,2,Moisturizing,4.8,2022-03-08 08:19:16.974799
B00YDHJTAI,2022,3,8,3,Longevity,4.0,2022-03-08 08:19:16.974799
B00YDHJTAI,2022,3,8,4,Value for money,3.6,2022-03-08 08:19:16.974799
B00PFCTBMQ,2022,3,8,1,Flattering,4.9,2022-03-08 08:19:23.282743
B00PFCTBMQ,2022,3,8,2,Longevity,4.8,2022-03-08 08:19:23.282743
B00PFCTBMQ,2022,3,8,3,Moisturizing,4.5,2022-03-08 08:19:23.282743
B083FH678P,2022,3,8,1,Value for money,4.8,2022-03-08 08:19:36.295796
B083FH678P,2022,3,8,2,Longevity,4.7,2022-03-08 08:19:36.295796
B00E3B2GX6,2022,3,8,1,Moisturizing,4.7,2022-03-08 08:19:57.146901
