ASIN,YEAR,MONTH,DAY,CATEGORY,PAGE,SEQUENCE,RATING_NUM,STAR,PRICR,PRICE_ORIGINAL,SPONSONED,PRIME,FREE_SHIPPING,JUST_SAVE_IN_RED,AMAZON_BRAND,BEST_SELLER,AMAZON_CHOICE,LIMITED_TIME_DEAL,SUBSCRIBE,COUPON,SPECIFICATION,DELIVERY_TIME,PRICE_OF_SEPC,TITLE,FULLURL
B0038TXGL0,2022,1,24,shampoo,1,32,14361,4.6,8.23,11.15,1,1,1,0,0,0,0,0,$7.82 with Subscribe & Save discount,0,13 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.63/Fl Oz),SheaMoisture Curl and Shine Coconut Shampoo for Curly Hair Coconut and Hibiscus Paraben Free Shampoo 13 oz,http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A100862527AFX8840V55H&url=%2FShea-Moisture-Coconut-Hibiscus-Shampoo-13%2Fdp%2FB0038TXGL0%2Fref%3Dsr_1_32_sspa%3Fcrid%3D3HRLZHDGH8FVG%26keywords%3Dshampoo%26qid%3D1643020876%26sprefix%3Dshampo%252Caps%252C669%26sr%3D8-32-spons%26psc%3D1&qualifier=1643020876&id=4721701688194362&widgetName=sp_mtf
B0009I4MKW,2022,1,24,shampoo,1,33,4935,4.6,16.17,21.39,1,1,1,0,0,0,0,0,$15.36 with Subscribe & Save discount,0,33.8 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.48/Fl Oz),"Nexxus Therappe Moisturizing Shampoo for Dry Hair Ultimate Moisture Silicone-Free, Moisturizing ProteinFusion with Elastin Protein and Green Caviar 33.8 oz",http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A020315619DH9QP2KW0QS&url=%2FNexxus-Moisturizing-Therappe-Silicone-Free-ProteinFusion%2Fdp%2FB0009I4MKW%2Fref%3Dsr_1_33_sspa%3Fcrid%3D3HRLZHDGH8FVG%26keywords%3Dshampoo%26qid%3D1643020876%26sprefix%3Dshampo%252Caps%252C669%26sr%3D8-33-spons%26psc%3D1&qualifier=1643020876&id=4721701688194362&widgetName=sp_mtf
B079RJ4Y7B,2022,1,24,shampoo,1,34,6773,4.5,18.97,0,1,1,1,0,0,0,0,0,$18.02 with Subscribe & Save discount,0,33.8 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.56/Ounce),"Nexxus Keraphix Shampoo for Damaged Hair With ProteinFusion Keratin Protein, Black Rice, Silicone-Free 33.8 oz",http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0203256D4RGCMO6FMPV&url=%2FNexxus-Keraphix-Shampoo-Damaged-Hair%2Fdp%2FB079RJ4Y7B%2Fref%3Dsr_1_34_sspa%3Fcrid%3D3HRLZHDGH8FVG%26keywords%3Dshampoo%26qid%3D1643020876%26sprefix%3Dshampo%252Caps%252C669%26sr%3D8-34-spons%26psc%3D1&qualifier=1643020876&id=4721701688194362&widgetName=sp_mtf
B0784P7P16,2022,1,24,shampoo,1,35,5747,4.5,12.95,14.49,0,1,1,0,0,0,0,0,0,0,3.5 Ounce (Pack of 2),"Tomorrow, Jan 25",($0.48/Ounce),"Love Beauty and Planet Shampoo & Conditioner for Color-Treated Hair Murumuru Butter & Rose Shampoo and Conditioner Silicone Free, Paraben Free and Vegan 13.5 oz 2 Count",http://amazon.com/Love-Beauty-Planet-Blooming-Conditioner/dp/B0784P7P16/ref=sr_1_35_mod_primary_new?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=shampo%2Caps%2C669&sr=8-35
B00ILBUEVK,2022,1,24,shampoo,1,36,25050,4.8,32,0,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,33.8 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.95/Fl Oz),BIOLAGE_Colorlast_Shampoo | Helps Protect Hair & Maintain Vibrant Color | For Color-Treated Hair |_Paraben & Silicone-Free |_Vegan_,http://amazon.com/BIOLAGE-Colorlast-Shampoo-Color-Treated-Hair/dp/B00ILBUEVK/ref=sr_1_36?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-36
B001E96P28,2022,1,24,shampoo,1,37,154,4.6,37.1,0,0,0,1,0,0,0,0,0,0,0,7 Fl Oz (Pack of 2),0,($2.65/Fl Oz),"Nizoral AntiDandruff Shampoo, 7-Ounce Bottles (Pack of 2)",http://amazon.com/Nizoral-AntiDandruff-Shampoo-7-Ounce-Bottles/dp/B001E96P28/ref=sr_1_37?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-37
B07PY962WW,2022,1,24,shampoo,1,38,214,4.4,10.02,0,0,0,1,0,0,0,0,0,0,0,12 Fl Oz (Pack of 1),0,($0.84/Fl Oz),"Purezero Moroccan Argan Oil Shampoo - 12 Fl Ounces - Repair Damaged Hair - Restore Strength, Shine & Softness - Zero Sulfates, Parabens, Dyes, Gluten - 100% Vegan & Cruelty Free",http://amazon.com/Purezero-Shampoo-Moroccan-Argan-Oil/dp/B07PY962WW/ref=sr_1_38?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-38
B0087PWY86,2022,1,24,shampoo,1,39,6588,4.7,5.82,7.49,0,1,1,0,0,0,0,0,$5.53 with Subscribe & Save discount,0,25.4 Fl Oz (Pack of 1),"Tomorrow, Jan 25",($0.23/Fl Oz),"Pantene Pro-V Daily Moisture Renewal 2 in 1 Shampoo & Conditioner, 25.4 fl oz",http://amazon.com/Pantene-Pro-V-Daily-Moisture-Renewal/dp/B0087PWY86/ref=sr_1_39?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-39
B0007CXXYG,2022,1,24,shampoo,1,40,9839,4.7,21.25,25,0,1,1,0,0,0,0,0,0,0,"Tomorrow, Jan 25","Tomorrow, Jan 25",($0.63/Fl Oz),"Paul Mitchell Awapuhi Shampoo, For All Hair Types",http://amazon.com/Paul-Mitchell-Awapuhi-Shampoo-33-8/dp/B0007CXXYG/ref=sr_1_40?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-40
B07F38LXDM,2022,1,24,shampoo,1,41,8957,4.8,19.11,21.99,0,1,1,0,0,0,0,0,Save more with Subscribe & Save,0,32.1 Fl Oz (Pack of 2),"Wed, Jan 26",($0.30/Fl Oz),"Head and Shoulders Shampoo, Anti Dandruff Treatment and Scalp Care, Classic Clean Scent, for All Hair Types including Color Treated, Curly or Textured Hair, 32.1 fl oz, Twin Pack",http://amazon.com/Head-Shoulders-Classic-Daily-Use-Anti-Dandruff/dp/B07F38LXDM/ref=sr_1_41?crid=3HRLZHDGH8FVG&keywords=shampoo&qid=1643020876&sprefix=shampo%2Caps%2C669&sr=8-41
