ASIN,YEAR,MONTH,DAY,KEYWORD_1,KEYWORD_2,KEYWORD_3,KEYWORD_4,KEYWORD_5,KEYWORD_6,KEYWORD_7,KEYWORD_8,KEYWORD_9,KEYWORD_10,KEYWORD_11,KEYWORD_12,KEYWORD_13,KEYWORD_14,KEYWORD_15,KEYWORD_16,KEYWORD_17,KEYWORD_18,KEYWORD_19,KEYWORD_20,TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09PY8GNQW,2022,3,13,17:05.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B074JT3698,2022,3,13,dash cam,picture quality,easy to use,video quality,night vision,easy to install,highly recommend,parking mode,easy to set,license plates,easy to setup,great camera,user friendly,tech support,day and night,good quality,great customer service,every time,high quality,great dash,17:14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0931YZ82P,2022,3,13,dash cam,memory card,easy to install,drive app,behind the mirror,constant power,voice commands,video quality,save video,micro sd card,picture quality,every time,suction cup,card is slowing,look elsewhere,live view,voice controls,works great,many people,cam mini,17:23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08M9JD55C,2022,3,13,dash cam,rear camera,suction cup,easy to install,front and rear,back camera,easy to use,picture quality,stopped working,highly recommend,front camera,front and back,video quality,parking mode,long enough,night vision,camera quality,good quality,previous model,memory card,17:29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08TT1RRGP,2022,3,13,17:34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09FJRP89C,2022,3,13,17:38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0811Q28N6,2022,3,13,dash cam,rear camera,rear view,night vision,backup camera,easy to install,backup camera,view mirror,touch screen,front and rear,stopped working,lane departure,front camera,hardwire kit,wide angle,straight forward,departure warning,rearview mirror,see anything,mirror dash,17:45.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B083V6K8RH,2022,3,13,dash cam,rear camera,parking mode,night vision,hardwire kit,picture quality,easy to install,video quality,front and rear,license plates,highly recommend,gps mount,high quality,make sure,peace of mind,uber and lyft,image quality,hardwire,rear view,stopped working,17:52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07Q5R22DV,2022,3,13,dash cam,rear camera,night vision,picture quality,front and rear,good quality,stopped working,backup camera,rear view,easy to use,video quality,highly recommend,front camera,great price,long enough,peace of mind,cigarette lighter,license plates,front and back,definitely recommend,17:59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08DNLHGWR,2022,3,13,18:08.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09P2SF34G,2022,3,13,18:12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07FQM3V3J,2022,3,13,18:16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07RLTXMWS,2022,3,13,dash cam,picture quality,turn the car,years ago,quality is definitely good,video quality,accident,card,device,support,windshield,dashcam,save,setup,crash,fix,footage,plugged,sent,vehicle,18:23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B098WVKF19,2022,3,13,18:27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B097GXSVY2,2022,3,13,18:31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07SZNL2WT,2022,3,13,18:36.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07SRQH4R7,2022,3,13,18:40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07ZT78BYP,2022,3,13,18:48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07XB78LTH,2022,3,13,dash cam,suction cup,easy to use,night vision,easy to install,easy setup,sim card,date and time,peace of mind,good quality,quality is great,video quality,card not included,great price,camera quality,picture quality,quality video,camera for the price,use of the camera,quality and easy,18:55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08YFKYQ2Q,2022,3,13,19:00.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09HT854VJ,2022,3,13,dash cam,night vision,easy to install,memory card,day and night,micro usb,wide angle,highly recommend,rear view,via wifi,easy to use,picture quality,built-in memory,built in memory,app is easy,app also,great quality,quality dashcam with a great,camera quality,video,19:07.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07TBS8MH6,2022,3,13,19:20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09LC93W66,2022,3,13,19:24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09LYBBMRY,2022,3,13,easy to install,picture quality,connect to the car,easy to use,works great,great for the kids,device,apps,audio,movies,tablet,video,wifi,android,download,installed,seat,cigarette,connected,hdmi,19:30.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07L3SW5G8,2022,3,13,19:34.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07Y1WZ1CR,2022,3,13,19:39.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07PSDXMNV,2022,3,13,19:43.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0757K2TJP,2022,3,13,19:47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00X528FNE,2022,3,13,19:55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B099N1FCPN,2022,3,13,19:59.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07H26742D,2022,3,13,20:04.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09PMSRZZ3,2022,3,13,20:08.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09MFB8RW9,2022,3,13,20:12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00NUVDVDY,2022,3,13,suction cup,dashcam,easy to use,license plates,wide angle,highly recommend,pretty much,date and time,day and night,working well,reading license,adhesive mount,worth the money,made in china,right in front,quality video,video quality,low light,works great,emergency recording,20:19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09HM4P6NS,2022,3,13,20:30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0742J69SQ,2022,3,13,20:34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0762MV9WY,2022,3,13,20:38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07W8127HN,2022,3,13,20:42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07VCHVTCM,2022,3,13,20:47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08ZHV5YFY,2022,3,13,20:51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09FGDHTK6,2022,3,13,20:55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09HBY5KWH,2022,3,13,21:12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09C5MLDMS,2022,3,13,21:23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07TW9ZDNB,2022,3,13,21:27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08QYY3JBZ,2022,3,13,21:31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07FCSMJZB,2022,3,13,21:35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09L4VS3GY,2022,3,13,21:39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08D3K9WF2,2022,3,13,21:44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09GJN55FY,2022,3,13,21:52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07XQYGQVS,2022,3,13,21:56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07QPQV3NZ,2022,3,13,22:00.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07X3T416J,2022,3,13,picture quality,easy to install,road trips,mounting system,dvd players,car rides,long car,easy to set,definitely recommend,portable dvd,easy to use,highly recommend,headrest,rear facing,great price,front seat,long road,picture and sound,stopped working,battery life,22:09.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B098WVKF19,2022,3,13,dash cam,rear camera,easy to install,memory card,hardwire kit,picture quality,highly recommend,easy to use,video quality,works great,back camera,front camera,works perfectly,front and back,license plate,suction cup,next day,front and rear,price point,download an app,22:16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09HKQR7J1,2022,3,13,22:21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08DV51H2X,2022,3,13,22:25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09LGVT1XG,2022,3,13,22:29.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09JK2XQNK,2022,3,13,22:33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09J8N3KLW,2022,3,13,22:37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07TW9ZDNB,2022,3,13,22:42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0779PM23K,2022,3,13,works great,power cord,remote did not come,picture quality,monitor,hdmi,stand,cable,mount,travel,usb,video,display,image,plan,security,system,vga,adapter,hooked,22:54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08R74NQWQ,2022,3,13,22:58.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08CKXYMHK,2022,3,13,23:05.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09Q892RF7,2022,3,13,23:15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09LLLF8PG,2022,3,13,23:19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07ZPGSKLS,2022,3,13,23:31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09LLYHZJQ,2022,3,13,23:35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B081YGT493,2022,3,13,23:39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08VJ66CNL,2022,3,13,23:43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07XFZL47R,2022,3,13,23:47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B084TBF5YM,2022,3,13,23:52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08T6KVWDR,2022,3,13,23:56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09C5MLDMS,2022,3,13,24:00.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09PQ95GY4,2022,3,13,24:04.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B097T1MR3D,2022,3,13,24:08.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07QSHWNBF,2022,3,13,24:13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09MLY2DHF,2022,3,13,24:17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08DJ3TKX9,2022,3,13,24:21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09B1STKPY,2022,3,13,24:25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07JP74LJD,2022,3,13,24:29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B084G9RR14,2022,3,13,24:33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07HNRYHZ6,2022,3,13,24:38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B074KZSVD6,2022,3,13,24:42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B077ZYDMYQ,2022,3,13,24:46.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08H5MHJ2K,2022,3,13,24:50.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09FFCXK6R,2022,3,13,24:54.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B099WP97RW,2022,3,13,dash cam,easy to install,highly recommend,night vision,parking mode,picture quality,video quality,good quality,rear camera,dashcam,seconds,feature,files,missing,recorded,videoid,accident,cameras,drive,happens,25:02.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09QBWX5ZZ,2022,3,13,25:13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09B7957DH,2022,3,13,dashcam,night vision,front and rear,driving recorder,easy to install,easy to set,picture quality,rear view,rear camera,much better,easy to use,video quality,cameras on the front,rear and inside,pretty good,good quality,view camera,inside camera,quality and very easy,camera for the price,25:20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07QSHWNBF,2022,3,13,25:25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07WMHDBGW,2022,3,13,25:31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09B1STKPY,2022,3,13,25:36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09QX6LC88,2022,3,13,25:40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09MLP2XPF,2022,3,13,25:44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07R67KT8R,2022,3,13,25:48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B085NRMMSW,2022,3,13,25:53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07HR9Y6DC,2022,3,13,25:57.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09CYT2KPX,2022,3,13,26:01.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09M8C7QBG,2022,3,13,26:05.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09GFTH2NF,2022,3,13,26:09.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09G2RS1LP,2022,3,13,26:17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09S5MZV17,2022,3,13,26:22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09BVD9N1S,2022,3,13,26:26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07D21XZPS,2022,3,13,26:30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07JRBWL2W,2022,3,13,26:38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07ZNY5MTD,2022,3,13,26:43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08LCYTCYJ,2022,3,13,26:47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B097SQRFJY,2022,3,13,26:51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09B9VKLJM,2022,3,13,26:55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07V5QFLZJ,2022,3,13,27:11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B072M58X9N,2022,3,13,27:20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07R43WV1Z,2022,3,13,27:28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07LFF55JK,2022,3,13,27:36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B086ML686Q,2022,3,13,dash cam,rear camera,easy to install,picture quality,great price,easy to use,night vision,suction cup,worth the money,recommend this product to anyone,highly recommend,good quality,works great,easy to set,front and rear,easy setup,works as advertised,back camera,micro sd card,memory card,27:43.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09L8DN8FX,2022,3,13,27:47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09CZ5MJ3C,2022,3,13,27:56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B06XC412Q2,2022,3,13,28:00.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09H6Y614W,2022,3,13,28:04.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08DJ3TKX9,2022,3,13,28:08.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B096LPGQL2,2022,3,13,28:13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B06XYX1Y5Z,2022,3,13,28:17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B088WTMGRV,2022,3,13,28:21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B00Z960Y4W,2022,3,13,28:25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B004S55GWK,2022,3,13,28:34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07RXYXK7Q,2022,3,13,rear view,rear camera,dash cam,easy to install,backup camera,view mirror,touch screen,stopped working,front and rear,night vision,front camera,another brand,license plate,cigarette lighter,make sure,wide angle,rearview mirror,front and back,much better,long enough,28:41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09MR2GC9R,2022,3,13,28:49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08K2P74BB,2022,3,13,28:53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B01FC3SPPG,2022,3,13,29:01.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07VJ53MZQ,2022,3,13,picture quality,dvd players,road trips,easy to install,year old,highly recommend,stopped working,car rides,remote control,portable dvd,easy to use,easy to set,long car,long road,life saver,definitely recommend,battery life,loud enough,quality is great,sound quality,29:09.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08DRLY2R1,2022,3,13,dash cam,rear view,rear camera,night vision,backup camera,front and rear,touch screen,front camera,view mirror,license plate,easy to install,highly recommend,cigarette lighter,works great,crisp clear,wide angle,hardwire kit,years ago,works well,stopped working,29:21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0876MXGY4,2022,3,13,dash cam,easy to install,rear camera,high quality,front and rear,picture quality,front and back,good quality,quality is great,quality of the video,update,bike,card,cameras,installed,instructions,recording,figure,files,system,29:29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09QKGRR72,2022,3,13,29:40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07PPCWQZZ,2022,3,13,29:44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B08B3K66GP,2022,3,13,connect,wifi,internet,netflix,hotspot,drive,29:56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B09CTMVZ1J,2022,3,13,30:00.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07S9Z7997,2022,3,13,30:08.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
